Date,Sit_Start,Sit_End,Duration_sec
2025-12-10,2025-12-10 23:33:47,2025-12-10 23:33:49,2.5
2025-12-10,2025-12-10 23:33:53,2025-12-10 23:33:59,5.1
2025-12-10,2025-12-10 23:34:07,2025-12-10 23:34:11,4.2
2025-12-10,2025-12-10 23:34:14,2025-12-10 23:34:15,1.3
2025-12-10,2025-12-10 23:34:30,2025-12-10 23:34:33,3.1
2025-12-10,2025-12-10 23:35:01,2025-12-10 23:35:04,2.6
2025-12-10,2025-12-10 23:48:55,2025-12-10 23:49:32,36.3
2025-12-10,2025-12-10 23:50:29,2025-12-10 23:50:30,1.2
2025-12-10,2025-12-10 23:50:38,2025-12-10 23:50:45,6.6
2025-12-10,2025-12-10 23:50:47,2025-12-10 23:51:12,25.1
2025-12-10,2025-12-11 00:00:43,2025-12-11 00:00:45,1.3
2025-12-11,2025-12-11 00:07:35,2025-12-11 00:08:12,37.8
2025-12-11,2025-12-11 00:08:14,2025-12-11 00:08:19,5.3
2025-12-11,2025-12-11 00:08:22,2025-12-11 00:08:28,6.5
2025-12-11,2025-12-11 00:08:54,2025-12-11 00:09:20,26.4
2025-12-11,2025-12-11 00:09:24,2025-12-11 00:09:25,1.1
2025-12-11,2025-12-11 00:09:37,2025-12-11 00:09:40,2.6
2025-12-11,2025-12-11 00:14:43,2025-12-11 00:14:44,1.2
2025-12-11,2025-12-11 00:14:53,2025-12-11 00:14:59,5.6
2025-12-11,2025-12-11 00:15:04,2025-12-11 00:15:08,4.9
2025-12-11,2025-12-11 00:15:25,2025-12-11 00:15:43,18.7
2025-12-11,2025-12-11 00:15:50,2025-12-11 00:16:25,35.0
2025-12-11,2025-12-11 00:16:29,2025-12-11 00:16:37,7.6
2025-12-11,2025-12-11 00:23:21,2025-12-11 00:23:24,2.6
2025-12-11,2025-12-11 00:24:03,2025-12-11 00:24:09,5.3
2025-12-11,2025-12-11 00:24:14,2025-12-11 00:24:24,10.0
2025-12-11,2025-12-11 00:24:37,2025-12-11 00:24:41,4.3
2025-12-11,2025-12-11 00:24:46,2025-12-11 00:24:50,3.8
2025-12-11,2025-12-11 00:44:00,2025-12-11 00:44:34,34.2
2025-12-11,2025-12-11 00:44:42,2025-12-11 00:45:09,27.3
2025-12-11,2025-12-11 00:45:15,2025-12-11 00:45:16,1.3
2025-12-11,2025-12-11 00:45:21,2025-12-11 00:45:22,1.6
2025-12-11,2025-12-11 00:45:44,2025-12-11 00:45:48,4.5
2025-12-11,2025-12-11 00:46:25,2025-12-11 00:46:43,17.9
2025-12-11,2025-12-11 00:47:00,2025-12-11 00:47:08,7.5
2025-12-11,2025-12-11 00:47:35,2025-12-11 00:47:36,1.3
2025-12-11,2025-12-11 00:47:45,2025-12-11 00:47:47,2.3
2025-12-11,2025-12-11 00:48:14,2025-12-11 00:48:17,2.9
2025-12-11,2025-12-11 00:48:40,2025-12-11 00:48:43,2.9
2025-12-11,2025-12-11 00:48:52,2025-12-11 00:48:56,4.1
2025-12-11,2025-12-11 00:49:08,2025-12-11 00:49:22,14.6
2025-12-11,2025-12-11 00:49:29,2025-12-11 00:49:46,17.1
2025-12-11,2025-12-11 00:49:50,2025-12-11 00:49:57,7.1
2025-12-11,2025-12-11 01:15:08,2025-12-11 01:15:23,14.7
2025-12-11,2025-12-11 01:15:25,2025-12-11 01:15:33,7.5
2025-12-11,2025-12-11 01:15:58,2025-12-11 01:16:07,9.1
2025-12-11,2025-12-11 01:16:22,2025-12-11 01:16:40,17.9
2025-12-11,2025-12-11 01:16:43,2025-12-11 01:16:52,8.9
2025-12-11,2025-12-11 01:17:05,2025-12-11 01:17:08,2.2
2025-12-11,2025-12-11 01:17:15,2025-12-11 01:17:25,9.3
2025-12-11,2025-12-11 01:17:32,2025-12-11 01:17:40,8.1
2025-12-11,2025-12-11 01:17:52,2025-12-11 01:17:57,4.8
2025-12-11,2025-12-11 01:17:58,2025-12-11 01:18:02,3.6
2025-12-11,2025-12-11 01:18:03,2025-12-11 01:18:05,2.2
2025-12-11,2025-12-11 01:18:11,2025-12-11 01:18:29,17.5
2025-12-11,2025-12-11 01:18:34,2025-12-11 01:18:49,15.1
2025-12-11,2025-12-11 01:18:51,2025-12-11 01:18:58,7.3
2025-12-11,2025-12-11 01:19:37,2025-12-11 01:19:42,4.6
2025-12-11,2025-12-11 01:19:44,2025-12-11 01:19:51,6.8
2025-12-11,2025-12-11 01:28:48,2025-12-11 01:28:50,2.0
2025-12-11,2025-12-11 01:29:39,2025-12-11 01:29:51,11.9
2025-12-11,2025-12-11 01:29:56,2025-12-11 01:30:04,7.8
2025-12-11,2025-12-11 01:30:08,2025-12-11 01:30:09,1.3
2025-12-11,2025-12-11 01:30:21,2025-12-11 01:30:23,2.0
2025-12-11,2025-12-11 01:30:25,2025-12-11 01:30:33,8.1
2025-12-11,2025-12-11 01:38:40,2025-12-11 01:38:44,3.9
2025-12-11,2025-12-11 01:38:46,2025-12-11 01:39:04,17.9
2025-12-11,2025-12-11 01:39:28,2025-12-11 01:39:29,1.3
2025-12-11,2025-12-11 01:40:17,2025-12-11 01:40:19,2.4
2025-12-11,2025-12-11 01:43:44,2025-12-11 01:43:57,12.8
2025-12-11,2025-12-11 01:44:03,2025-12-11 01:44:54,50.8
2025-12-11,2025-12-11 01:45:21,2025-12-11 01:45:23,1.6
2025-12-11,2025-12-11 01:45:42,2025-12-11 01:45:56,13.4
2025-12-11,2025-12-11 01:46:06,2025-12-11 01:46:08,2.0
2025-12-11,2025-12-11 01:49:34,2025-12-11 01:49:56,21.7
2025-12-11,2025-12-11 01:55:56,2025-12-11 01:56:34,38.0
2025-12-11,2025-12-11 01:56:52,2025-12-11 01:56:55,3.6
2025-12-11,2025-12-11 01:57:14,2025-12-11 01:57:26,11.9
2025-12-11,2025-12-11 01:57:30,2025-12-11 01:57:32,1.9
2025-12-11,2025-12-11 01:57:36,2025-12-11 01:57:49,13.0
2025-12-11,2025-12-11 01:57:55,2025-12-11 01:58:02,6.5
2025-12-11,2025-12-11 01:58:08,2025-12-11 01:58:10,1.7
2025-12-11,2025-12-11 02:07:42,2025-12-11 02:07:50,8.4
2025-12-11,2025-12-11 02:07:54,2025-12-11 02:07:56,1.5
2025-12-11,2025-12-11 02:08:43,2025-12-11 02:08:56,13.3
2025-12-11,2025-12-11 02:14:58,2025-12-11 02:15:04,6.4
2025-12-11,2025-12-11 02:15:13,2025-12-11 02:15:32,18.7
2025-12-11,2025-12-11 02:16:13,2025-12-11 02:16:14,1.0
2025-12-11,2025-12-11 02:16:24,2025-12-11 02:16:27,3.1
2025-12-11,2025-12-11 02:16:29,2025-12-11 02:16:34,4.8
2025-12-11,2025-12-11 02:16:56,2025-12-11 02:16:59,3.2
2025-12-11,2025-12-11 02:19:52,2025-12-11 02:20:01,8.5
